#Time TotalMass(kg) flux(inlet) flux(outlet)
0.01 0 0 0
0.02 0 0 0
0.03 0 0 0
0.04 0 0 0
0.052 0 0 0
0.0639999 0 0 0
0.0759998 0 0 0
0.0879997 0 0 0
0.0999996 0 0 0
0.114399 0 0 0
0.128799 0 0 0
0.143199 0 0 0
0.157599 0 0 0
0.171998 0 0 0
0.189278 0 0 0
0.206557 0 0 0
0.223837 0 0 0
0.241116 0 0 0
0.258395 0 0 0
0.27913 0 0 0
0.299865 0 0 0
0.3206 0 0 0
0.341335 0 0 0
0.362069 0 0 0
0.386951 0 0 0
0.411833 0 0 0
0.436714 0 0 0
0.461595 0 0 0
0.486476 0 0 0
0.516333 0 0 0
0.54619 0 0 0
0.576047 0 0 0
0.605904 0 0 0
0.635761 0 0 0
0.671588 0 0 0
0.707416 0 0 0
0.743243 0 0 0
0.77907 0 0 0
0.814896 0 0 0
0.857888 0 0 0
0.90088 0 0 0
0.943871 0 0 0
0.986862 0 0 0
1.02985 0 0 0
1.08144 0 0 0
1.13303 0 0 0
1.18462 0 0 0
1.2362 0 0 0
1.28779 0 0 0
1.34969 0 0 0
1.41159 0 0 0
1.47349 0 0 0
1.5354 0 0 0
1.59729 0 0 0
1.67157 0 0 0
1.74585 0 0 0
1.82013 0 0 0
1.8944 0 0 0
1.96868 0 0 0
2.05781 0 0 0
2.14693 0 0 0
2.23606 0 0 0
2.32518 0 0 0
2.4143 0 0 0
2.52124 0 0 0
2.62818 0 0 0
2.73512 0 0 0
2.84206 0 0 0
2.94899 0 0 0
3.07731 0 0 0
3.20563 0 0 0
3.33395 0 0 0
3.46227 0 0 0
3.59059 0 0 0
3.74457 0 0 0
3.89855 0 0 0
4.05252 0 0 0
4.20649 0 0 0
4.36045 0 0 0
4.5452 0 0 0
4.72994 0 0 0
4.91467 0 0 0
5.0994 0 0 0
5.28412 0 0 0
5.50579 0 0 0
5.72744 0 0 0
5.94908 0 0 0
6.17071 0 0 0
6.39233 0 0 0
6.65827 0 0 0
6.92419 0 0 0
7.1901 0 0 0
7.45599 0 0 0
7.72187 0 0 0
8.0409 0 0 0
8.35991 0 0 0
8.67889 0 0 0
8.99786 0 0 0
9.31681 0 0 0
9.69952 0 0 0
10.0822 0 0 0
10.4649 0 0 0
10.8475 0 0 0
11.2301 0 0 0
11.6891 0 0 0
12.1482 0 0 0
12.6071 0 0 0
13.0661 0 0 0
13.525 0 0 0
14.0756 0 0 0
14.6261 0 0 0
15.1766 0 0 0
15.7271 0 0 0
16.2774 0 0 0
16.9378 0 0 0
17.598 0 0 0
18.2582 0 0 0
